ITEM: TIMESTEP
26200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
100 -52.1285 
101 65.2954 
102 160.737 
103 39.4078 
104 -81.9834 
105 64.8258 
106 -171.267 
107 -55.7932 
108 95.0249 
109 -30.2686 
110 -149.767 
111 93.0249 
112 -26.4737 
113 -141.682 
114 -145.259 
115 95.2421 
116 -19.9658 
ITEM: TIMESTEP
26600
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 109.557 
2 -127.575 
3 -6.67313 
4 -74.3025 
5 167.84 
6 45.8289 
7 -71.624 
8 166.365 
9 46.2333 
10 49.3453 
11 -72.666 
12 167.203 
13 -170.046 
14 78.9111 
15 -51.3435 
16 -26.5245 
17 -137.208 
18 88.7606 
19 -21.923 
20 -150.811 
21 98.5054 
22 15.2228 
23 134.982 
24 -114.422 
25 126.487 
26 7.68063 
27 89.3653 
28 -28.7199 
29 -152.996 
30 98.7184 
31 106.961 
32 -16.0322 
33 -135.486 
34 -140.805 
35 96.2015 
36 -23.2522 
37 -18.8349 
38 -141.828 
39 155.423 
40 42.0717 
41 -83.106 
42 162.937 
43 37.7592 
44 -83.7119 
45 -77.3312 
46 157.491 
47 36.0201 
48 -164.262 
49 -44.899 
50 66.2894 
51 -100.148 
52 135.687 
53 19.2273 
54 154.683 
55 -86.574 
56 31.5098 
57 -176.51 
58 64.6857 
59 -53.7868 
60 -179.075 
61 62.4524 
62 -60.2704 
63 -52.8465 
64 -171.319 
65 65.9581 
66 154.129 
67 -88.7797 
68 32.5111 
69 168.075 
70 50.7407 
71 -71.0118 
72 -177.401 
73 -55.962 
74 61.6847 
75 -150.145 
76 90.3885 
77 -31.6454 
78 -149.649 
79 88.317 
